Enrollment
7/14/2020

Year,Level,Division,Grade,Count
"2019 - 2020",DIV,"Craig County Public Schools",10,50
"2019 - 2020",DIV,"Craig County Public Schools",11,43
"2019 - 2020",DIV,"Craig County Public Schools",12,51
"2019 - 2020",DIV,"Culpeper County Public Schools",,8521
"2019 - 2020",DIV,"Culpeper County Public Schools",PK,161
"2019 - 2020",DIV,"Culpeper County Public Schools",KG,645
"2019 - 2020",DIV,"Culpeper County Public Schools",01,593
"2019 - 2020",DIV,"Culpeper County Public Schools",02,631
"2019 - 2020",DIV,"Culpeper County Public Schools",03,611
"2019 - 2020",DIV,"Culpeper County Public Schools",04,609
"2019 - 2020",DIV,"Culpeper County Public Schools",05,655
"2019 - 2020",DIV,"Culpeper County Public Schools",06,679
"2019 - 2020",DIV,"Culpeper County Public Schools",07,676
"2019 - 2020",DIV,"Culpeper County Public Schools",08,679
"2019 - 2020",DIV,"Culpeper County Public Schools",09,741
"2019 - 2020",DIV,"Culpeper County Public Schools",10,685
"2019 - 2020",DIV,"Culpeper County Public Schools",11,575
"2019 - 2020",DIV,"Culpeper County Public Schools",12,581
"2019 - 2020",DIV,"Cumberland County Public Schools",,1321
"2019 - 2020",DIV,"Cumberland County Public Schools",PK,92
"2019 - 2020",DIV,"Cumberland County Public Schools",KG,91
"2019 - 2020",DIV,"Cumberland County Public Schools",01,100
"2019 - 2020",DIV,"Cumberland County Public Schools",02,87
"2019 - 2020",DIV,"Cumberland County Public Schools",03,84
"2019 - 2020",DIV,"Cumberland County Public Schools",04,82
"2019 - 2020",DIV,"Cumberland County Public Schools",05,88
"2019 - 2020",DIV,"Cumberland County Public Schools",06,98
"2019 - 2020",DIV,"Cumberland County Public Schools",07,100
"2019 - 2020",DIV,"Cumberland County Public Schools",08,94
"2019 - 2020",DIV,"Cumberland County Public Schools",09,110
"2019 - 2020",DIV,"Cumberland County Public Schools",10,85
"2019 - 2020",DIV,"Cumberland County Public Schools",11,104
"2019 - 2020",DIV,"Cumberland County Public Schools",12,106
"2019 - 2020",DIV,"Danville City Public Schools",,5702
"2019 - 2020",DIV,"Danville City Public Schools",PK,236
"2019 - 2020",DIV,"Danville City Public Schools",KG,460
"2019 - 2020",DIV,"Danville City Public Schools",01,449
"2019 - 2020",DIV,"Danville City Public Schools",02,444
"2019 - 2020",DIV,"Danville City Public Schools",03,431
"2019 - 2020",DIV,"Danville City Public Schools",04,403
"2019 - 2020",DIV,"Danville City Public Schools",05,478
"2019 - 2020",DIV,"Danville City Public Schools",06,442
"2019 - 2020",DIV,"Danville City Public Schools",07,407
"2019 - 2020",DIV,"Danville City Public Schools",08,416
"2019 - 2020",DIV,"Danville City Public Schools",09,411
"2019 - 2020",DIV,"Danville City Public Schools",10,375
"2019 - 2020",DIV,"Danville City Public Schools",11,379
"2019 - 2020",DIV,"Danville City Public Schools",12,371
"2019 - 2020",DIV,"Department of Juvenile Justice",,115
"2019 - 2020",DIV,"Department of Juvenile Justice",07,2
"2019 - 2020",DIV,"Department of Juvenile Justice",08,2
"2019 - 2020",DIV,"Department of Juvenile Justice",09,20
"2019 - 2020",DIV,"Department of Juvenile Justice",10,44
"2019 - 2020",DIV,"Department of Juvenile Justice",11,27
"2019 - 2020",DIV,"Department of Juvenile Justice",12,20
"2019 - 2020",DIV,"Dickenson County Public Schools",,2064
"2019 - 2020",DIV,"Dickenson County Public Schools",PK,101
"2019 - 2020",DIV,"Dickenson County Public Schools",KG,147
"2019 - 2020",DIV,"Dickenson County Public Schools",01,167
"2019 - 2020",DIV,"Dickenson County Public Schools",02,166
"2019 - 2020",DIV,"Dickenson County Public Schools",03,156
"2019 - 2020",DIV,"Dickenson County Public Schools",04,126
"2019 - 2020",DIV,"Dickenson County Public Schools",05,159
"2019 - 2020",DIV,"Dickenson County Public Schools",06,151
"2019 - 2020",DIV,"Dickenson County Public Schools",07,148
"2019 - 2020",DIV,"Dickenson County Public Schools",08,163
"2019 - 2020",DIV,"Dickenson County Public Schools",09,154
"2019 - 2020",DIV,"Dickenson County Public Schools",10,152
"2019 - 2020",DIV,"Dickenson County Public Schools",11,137
"2019 - 2020",DIV,"Dickenson County Public Schools",12,137
"2019 - 2020",DIV,"Dinwiddie County Public Schools",,4347
"2019 - 2020",DIV,"Dinwiddie County Public Schools",PK,48
"2019 - 2020",DIV,"Dinwiddie County Public Schools",KG,333
"2019 - 2020",DIV,"Dinwiddie County Public Schools",01,335
"2019 - 2020",DIV,"Dinwiddie County Public Schools",02,332
"2019 - 2020",DIV,"Dinwiddie County Public Schools",03,349
"2019 - 2020",DIV,"Dinwiddie County Public Schools",04,304
"2019 - 2020",DIV,"Dinwiddie County Public Schools",05,331
"2019 - 2020",DIV,"Dinwiddie County Public Schools",06,327
"2019 - 2020",DIV,"Dinwiddie County Public Schools",07,331
"2019 - 2020",DIV,"Dinwiddie County Public Schools",08,348
"2019 - 2020",DIV,"Dinwiddie County Public Schools",09,342
"2019 - 2020",DIV,"Dinwiddie County Public Schools",10,339
"2019 - 2020",DIV,"Dinwiddie County Public Schools",11,301
"2019 - 2020",DIV,"Dinwiddie County Public Schools",12,327
"2019 - 2020",DIV,"Essex County Public Schools",,1320
"2019 - 2020",DIV,"Essex County Public Schools",PK,37
"2019 - 2020",DIV,"Essex County Public Schools",KG,93
"2019 - 2020",DIV,"Essex County Public Schools",01,81
"2019 - 2020",DIV,"Essex County Public Schools",02,89
"2019 - 2020",DIV,"Essex County Public Schools",03,83
"2019 - 2020",DIV,"Essex County Public Schools",04,97
"2019 - 2020",DIV,"Essex County Public Schools",05,105
"2019 - 2020",DIV,"Essex County Public Schools",06,104
"2019 - 2020",DIV,"Essex County Public Schools",07,102
"2019 - 2020",DIV,"Essex County Public Schools",08,104
"2019 - 2020",DIV,"Essex County Public Schools",09,112
"2019 - 2020",DIV,"Essex County Public Schools",10,109
"2019 - 2020",DIV,"Essex County Public Schools",11,103
"2019 - 2020",DIV,"Essex County Public Schools",12,101
"2019 - 2020",DIV,"Fairfax County Public Schools",,188940
"2019 - 2020",DIV,"Fairfax County Public Schools",PG,10
"2019 - 2020",DIV,"Fairfax County Public Schools",PK,4181
"2019 - 2020",DIV,"Fairfax County Public Schools",KG,13070
"2019 - 2020",DIV,"Fairfax County Public Schools",01,13545
"2019 - 2020",DIV,"Fairfax County Public Schools",02,13447
"2019 - 2020",DIV,"Fairfax County Public Schools",03,13778
"2019 - 2020",DIV,"Fairfax County Public Schools",04,13668
"2019 - 2020",DIV,"Fairfax County Public Schools",05,13999
"2019 - 2020",DIV,"Fairfax County Public Schools",06,14739
"2019 - 2020",DIV,"Fairfax County Public Schools",07,14362
"2019 - 2020",DIV,"Fairfax County Public Schools",08,14283
"2019 - 2020",DIV,"Fairfax County Public Schools",09,15495
"2019 - 2020",DIV,"Fairfax County Public Schools",10,14778
"2019 - 2020",DIV,"Fairfax County Public Schools",11,14928
"2019 - 2020",DIV,"Fairfax County Public Schools",12,14657
"2019 - 2020",DIV,"Falls Church City Public Schools",,2649
"2019 - 2020",DIV,"Falls Church City Public Schools",PK,64
"2019 - 2020",DIV,"Falls Church City Public Schools",KG,180
"2019 - 2020",DIV,"Falls Church City Public Schools",01,172
"2019 - 2020",DIV,"Falls Church City Public Schools",02,175
"2019 - 2020",DIV,"Falls Church City Public Schools",03,189
"2019 - 2020",DIV,"Falls Church City Public Schools",04,185
"2019 - 2020",DIV,"Falls Church City Public Schools",05,177
"2019 - 2020",DIV,"Falls Church City Public Schools",06,235
"2019 - 2020",DIV,"Falls Church City Public Schools",07,209
"2019 - 2020",DIV,"Falls Church City Public Schools",08,218
"2019 - 2020",DIV,"Falls Church City Public Schools",09,218
"2019 - 2020",DIV,"Falls Church City Public Schools",10,226
"2019 - 2020",DIV,"Falls Church City Public Schools",11,207
"2019 - 2020",DIV,"Falls Church City Public Schools",12,194
"2019 - 2020",DIV,"Fauquier County Public Schools",,11181
"2019 - 2020",DIV,"Fauquier County Public Schools",PK,165
"2019 - 2020",DIV,"Fauquier County Public Schools",KG,742
"2019 - 2020",DIV,"Fauquier County Public Schools",01,725
"2019 - 2020",DIV,"Fauquier County Public Schools",02,786
"2019 - 2020",DIV,"Fauquier County Public Schools",03,778
"2019 - 2020",DIV,"Fauquier County Public Schools",04,773
"2019 - 2020",DIV,"Fauquier County Public Schools",05,799
"2019 - 2020",DIV,"Fauquier County Public Schools",06,889
"2019 - 2020",DIV,"Fauquier County Public Schools",07,845
"2019 - 2020",DIV,"Fauquier County Public Schools",08,872
"2019 - 2020",DIV,"Fauquier County Public Schools",09,958
"2019 - 2020",DIV,"Fauquier County Public Schools",10,970
"2019 - 2020",DIV,"Fauquier County Public Schools",11,880
"2019 - 2020",DIV,"Fauquier County Public Schools",12,999
"2019 - 2020",DIV,"Floyd County Public Schools",,1923
"2019 - 2020",DIV,"Floyd County Public Schools",PK,67
"2019 - 2020",DIV,"Floyd County Public Schools",KG,130
"2019 - 2020",DIV,"Floyd County Public Schools",01,121
"2019 - 2020",DIV,"Floyd County Public Schools",02,124
"2019 - 2020",DIV,"Floyd County Public Schools",03,132
"2019 - 2020",DIV,"Floyd County Public Schools",04,139
"2019 - 2020",DIV,"Floyd County Public Schools",05,124
"2019 - 2020",DIV,"Floyd County Public Schools",06,141
"2019 - 2020",DIV,"Floyd County Public Schools",07,161
"2019 - 2020",DIV,"Floyd County Public Schools",08,151
"2019 - 2020",DIV,"Floyd County Public Schools",09,153
"2019 - 2020",DIV,"Floyd County Public Schools",10,182
"2019 - 2020",DIV,"Floyd County Public Schools",11,141
"2019 - 2020",DIV,"Floyd County Public Schools",12,157
"2019 - 2020",DIV,"Fluvanna County Public Schools",,3549
"2019 - 2020",DIV,"Fluvanna County Public Schools",PK,80
"2019 - 2020",DIV,"Fluvanna County Public Schools",KG,217
"2019 - 2020",DIV,"Fluvanna County Public Schools",01,222
"2019 - 2020",DIV,"Fluvanna County Public Schools",02,237
"2019 - 2020",DIV,"Fluvanna County Public Schools",03,237
"2019 - 2020",DIV,"Fluvanna County Public Schools",04,234
"2019 - 2020",DIV,"Fluvanna County Public Schools",05,266
"2019 - 2020",DIV,"Fluvanna County Public Schools",06,288
"2019 - 2020",DIV,"Fluvanna County Public Schools",07,279
"2019 - 2020",DIV,"Fluvanna County Public Schools",08,300
"2019 - 2020",DIV,"Fluvanna County Public Schools",09,324
"2019 - 2020",DIV,"Fluvanna County Public Schools",10,316
"2019 - 2020",DIV,"Fluvanna County Public Schools",11,262
"2019 - 2020",DIV,"Fluvanna County Public Schools",12,287
"2019 - 2020",DIV,"Franklin City Public Schools",,1078
"2019 - 2020",DIV,"Franklin City Public Schools",PK,57
"2019 - 2020",DIV,"Franklin City Public Schools",KG,77
"2019 - 2020",DIV,"Franklin City Public Schools",01,73
"2019 - 2020",DIV,"Franklin City Public Schools",02,88
"2019 - 2020",DIV,"Franklin City Public Schools",03,81
"2019 - 2020",DIV,"Franklin City Public Schools",04,95
"2019 - 2020",DIV,"Franklin City Public Schools",05,76
"2019 - 2020",DIV,"Franklin City Public Schools",06,92
"2019 - 2020",DIV,"Franklin City Public Schools",07,78
"2019 - 2020",DIV,"Franklin City Public Schools",08,70
"2019 - 2020",DIV,"Franklin City Public Schools",09,85
"2019 - 2020",DIV,"Franklin City Public Schools",10,76
"2019 - 2020",DIV,"Franklin City Public Schools",11,61
"2019 - 2020",DIV,"Franklin City Public Schools",12,69
"2019 - 2020",DIV,"Franklin County Public Schools",,6887
"2019 - 2020",DIV,"Franklin County Public Schools",PK,222
"2019 - 2020",DIV,"Franklin County Public Schools",KG,451
"2019 - 2020",DIV,"Franklin County Public Schools",01,494
"2019 - 2020",DIV,"Franklin County Public Schools",02,496
"2019 - 2020",DIV,"Franklin County Public Schools",03,481
"2019 - 2020",DIV,"Franklin County Public Schools",04,511
"2019 - 2020",DIV,"Franklin County Public Schools",05,558
"2019 - 2020",DIV,"Franklin County Public Schools",06,566
"2019 - 2020",DIV,"Franklin County Public Schools",07,509
"2019 - 2020",DIV,"Franklin County Public Schools",08,542
"2019 - 2020",DIV,"Franklin County Public Schools",09,566
"2019 - 2020",DIV,"Franklin County Public Schools",10,524
"2019 - 2020",DIV,"Franklin County Public Schools",11,473
"2019 - 2020",DIV,"Franklin County Public Schools",12,494
"2019 - 2020",DIV,"Frederick County Public Schools",,13880
"2019 - 2020",DIV,"Frederick County Public Schools",PK,121
"2019 - 2020",DIV,"Frederick County Public Schools",KG,947
"2019 - 2020",DIV,"Frederick County Public Schools",01,1028
"2019 - 2020",DIV,"Frederick County Public Schools",02,1022
"2019 - 2020",DIV,"Frederick County Public Schools",03,988
"2019 - 2020",DIV,"Frederick County Public Schools",04,1010
"2019 - 2020",DIV,"Frederick County Public Schools",05,1083
"2019 - 2020",DIV,"Frederick County Public Schools",06,1096
"2019 - 2020",DIV,"Frederick County Public Schools",07,1159
"2019 - 2020",DIV,"Frederick County Public Schools",08,1096
"2019 - 2020",DIV,"Frederick County Public Schools",09,1127
"2019 - 2020",DIV,"Frederick County Public Schools",10,1114
"2019 - 2020",DIV,"Frederick County Public Schools",11,1051
"2019 - 2020",DIV,"Frederick County Public Schools",12,1038
"2019 - 2020",DIV,"Fredericksburg City Public Schools",,3763
"2019 - 2020",DIV,"Fredericksburg City Public Schools",PG,8
"2019 - 2020",DIV,"Fredericksburg City Public Schools",PK,181
"2019 - 2020",DIV,"Fredericksburg City Public Schools",KG,355
"2019 - 2020",DIV,"Fredericksburg City Public Schools",01,328
"2019 - 2020",DIV,"Fredericksburg City Public Schools",02,295
"2019 - 2020",DIV,"Fredericksburg City Public Schools",03,269
"2019 - 2020",DIV,"Fredericksburg City Public Schools",04,253
"2019 - 2020",DIV,"Fredericksburg City Public Schools",05,266
"2019 - 2020",DIV,"Fredericksburg City Public Schools",06,293
"2019 - 2020",DIV,"Fredericksburg City Public Schools",07,265
"2019 - 2020",DIV,"Fredericksburg City Public Schools",08,236
"2019 - 2020",DIV,"Fredericksburg City Public Schools",09,302
"2019 - 2020",DIV,"Fredericksburg City Public Schools",10,267
"2019 - 2020",DIV,"Fredericksburg City Public Schools",11,203
"2019 - 2020",DIV,"Fredericksburg City Public Schools",12,242
"2019 - 2020",DIV,"Galax City Public Schools",,1338
"2019 - 2020",DIV,"Galax City Public Schools",PK,60
"2019 - 2020",DIV,"Galax City Public Schools",KG,114
"2019 - 2020",DIV,"Galax City Public Schools",01,110
"2019 - 2020",DIV,"Galax City Public Schools",02,100
"2019 - 2020",DIV,"Galax City Public Schools",03,96
"2019 - 2020",DIV,"Galax City Public Schools",04,102
"2019 - 2020",DIV,"Galax City Public Schools",05,116
"2019 - 2020",DIV,"Galax City Public Schools",06,101
"2019 - 2020",DIV,"Galax City Public Schools",07,112
"2019 - 2020",DIV,"Galax City Public Schools",08,89
"2019 - 2020",DIV,"Galax City Public Schools",09,95
"2019 - 2020",DIV,"Galax City Public Schools",10,75
"2019 - 2020",DIV,"Galax City Public Schools",11,77
"2019 - 2020",DIV,"Galax City Public Schools",12,91
"2019 - 2020",DIV,"Giles County Public Schools",,2394
"2019 - 2020",DIV,"Giles County Public Schools",PK,86
"2019 - 2020",DIV,"Giles County Public Schools",KG,170
"2019 - 2020",DIV,"Giles County Public Schools",01,193
"2019 - 2020",DIV,"Giles County Public Schools",02,198
"2019 - 2020",DIV,"Giles County Public Schools",03,158
"2019 - 2020",DIV,"Giles County Public Schools",04,157
"2019 - 2020",DIV,"Giles County Public Schools",05,167
"2019 - 2020",DIV,"Giles County Public Schools",06,169
"2019 - 2020",DIV,"Giles County Public Schools",07,153
"2019 - 2020",DIV,"Giles County Public Schools",08,196
"2019 - 2020",DIV,"Giles County Public Schools",09,182
"2019 - 2020",DIV,"Giles County Public Schools",10,185
"2019 - 2020",DIV,"Giles County Public Schools",11,209
"2019 - 2020",DIV,"Giles County Public Schools",12,171
"2019 - 2020",DIV,"Gloucester County Public Schools",,5306
"2019 - 2020",DIV,"Gloucester County Public Schools",PK,136
"2019 - 2020",DIV,"Gloucester County Public Schools",KG,354
"2019 - 2020",DIV,"Gloucester County Public Schools",01,367
"2019 - 2020",DIV,"Gloucester County Public Schools",02,383
"2019 - 2020",DIV,"Gloucester County Public Schools",03,367
"2019 - 2020",DIV,"Gloucester County Public Schools",04,401
"2019 - 2020",DIV,"Gloucester County Public Schools",05,422
"2019 - 2020",DIV,"Gloucester County Public Schools",06,412
"2019 - 2020",DIV,"Gloucester County Public Schools",07,400
"2019 - 2020",DIV,"Gloucester County Public Schools",08,375
"2019 - 2020",DIV,"Gloucester County Public Schools",09,375
"2019 - 2020",DIV,"Gloucester County Public Schools",10,459
"2019 - 2020",DIV,"Gloucester County Public Schools",11,431
"2019 - 2020",DIV,"Gloucester County Public Schools",12,424
"2019 - 2020",DIV,"Goochland County Public Schools",,2619
"2019 - 2020",DIV,"Goochland County Public Schools",PK,88
"2019 - 2020",DIV,"Goochland County Public Schools",KG,163
"2019 - 2020",DIV,"Goochland County Public Schools",01,171
"2019 - 2020",DIV,"Goochland County Public Schools",02,185
"2019 - 2020",DIV,"Goochland County Public Schools",03,176
"2019 - 2020",DIV,"Goochland County Public Schools",04,188
"2019 - 2020",DIV,"Goochland County Public Schools",05,176
"2019 - 2020",DIV,"Goochland County Public Schools",06,221
"2019 - 2020",DIV,"Goochland County Public Schools",07,202
"2019 - 2020",DIV,"Goochland County Public Schools",08,217
"2019 - 2020",DIV,"Goochland County Public Schools",09,221
"2019 - 2020",DIV,"Goochland County Public Schools",10,208
"2019 - 2020",DIV,"Goochland County Public Schools",11,200
"2019 - 2020",DIV,"Goochland County Public Schools",12,203
"2019 - 2020",DIV,"Grayson County Public Schools",,1556
"2019 - 2020",DIV,"Grayson County Public Schools",PK,40
"2019 - 2020",DIV,"Grayson County Public Schools",KG,136
"2019 - 2020",DIV,"Grayson County Public Schools",01,119
"2019 - 2020",DIV,"Grayson County Public Schools",02,105
"2019 - 2020",DIV,"Grayson County Public Schools",03,122
"2019 - 2020",DIV,"Grayson County Public Schools",04,116
"2019 - 2020",DIV,"Grayson County Public Schools",05,94
"2019 - 2020",DIV,"Grayson County Public Schools",06,112
"2019 - 2020",DIV,"Grayson County Public Schools",07,131
"2019 - 2020",DIV,"Grayson County Public Schools",08,117
"2019 - 2020",DIV,"Grayson County Public Schools",09,124
"2019 - 2020",DIV,"Grayson County Public Schools",10,94
"2019 - 2020",DIV,"Grayson County Public Schools",11,131
"2019 - 2020",DIV,"Grayson County Public Schools",12,115
"2019 - 2020",DIV,"Greene County Public Schools",,2978
"2019 - 2020",DIV,"Greene County Public Schools",PG,2
"2019 - 2020",DIV,"Greene County Public Schools",PK,40
"2019 - 2020",DIV,"Greene County Public Schools",KG,206
"2019 - 2020",DIV,"Greene County Public Schools",01,184
"2019 - 2020",DIV,"Greene County Public Schools",02,205
"2019 - 2020",DIV,"Greene County Public Schools",03,201
"2019 - 2020",DIV,"Greene County Public Schools",04,213
"2019 - 2020",DIV,"Greene County Public Schools",05,239
"2019 - 2020",DIV,"Greene County Public Schools",06,244
"2019 - 2020",DIV,"Greene County Public Schools",07,245
"2019 - 2020",DIV,"Greene County Public Schools",08,251
"2019 - 2020",DIV,"Greene County Public Schools",09,250
"2019 - 2020",DIV,"Greene County Public Schools",10,239
"2019 - 2020",DIV,"Greene County Public Schools",11,235
"2019 - 2020",DIV,"Greene County Public Schools",12,224
"2019 - 2020",DIV,"Greensville County Public Schools",,2223
"2019 - 2020",DIV,"Greensville County Public Schools",PK,112
"2019 - 2020",DIV,"Greensville County Public Schools",KG,158
"2019 - 2020",DIV,"Greensville County Public Schools",01,159
"2019 - 2020",DIV,"Greensville County Public Schools",02,145
"2019 - 2020",DIV,"Greensville County Public Schools",03,170
"2019 - 2020",DIV,"Greensville County Public Schools",04,145
"2019 - 2020",DIV,"Greensville County Public Schools",05,163
"2019 - 2020",DIV,"Greensville County Public Schools",06,209
"2019 - 2020",DIV,"Greensville County Public Schools",07,172
"2019 - 2020",DIV,"Greensville County Public Schools",08,159
"2019 - 2020",DIV,"Greensville County Public Schools",09,148
"2019 - 2020",DIV,"Greensville County Public Schools",10,156
"2019 - 2020",DIV,"Greensville County Public Schools",11,178
"2019 - 2020",DIV,"Greensville County Public Schools",12,149
"2019 - 2020",DIV,"Halifax County Public Schools",,4896
"2019 - 2020",DIV,"Halifax County Public Schools",PK,293
"2019 - 2020",DIV,"Halifax County Public Schools",KG,351
"2019 - 2020",DIV,"Halifax County Public Schools",01,343
"2019 - 2020",DIV,"Halifax County Public Schools",02,317
"2019 - 2020",DIV,"Halifax County Public Schools",03,302
"2019 - 2020",DIV,"Halifax County Public Schools",04,342
"2019 - 2020",DIV,"Halifax County Public Schools",05,355
"2019 - 2020",DIV,"Halifax County Public Schools",06,378
"2019 - 2020",DIV,"Halifax County Public Schools",07,376
"2019 - 2020",DIV,"Halifax County Public Schools",08,373
"2019 - 2020",DIV,"Halifax County Public Schools",09,381
"2019 - 2020",DIV,"Halifax County Public Schools",10,378
"2019 - 2020",DIV,"Halifax County Public Schools",11,367
"2019 - 2020",DIV,"Halifax County Public Schools",12,340
"2019 - 2020",DIV,"Hampton City Public Schools",,19590
"2019 - 2020",DIV,"Hampton City Public Schools",PK,607
"2019 - 2020",DIV,"Hampton City Public Schools",KG,1456
"2019 - 2020",DIV,"Hampton City Public Schools",01,1480
"2019 - 2020",DIV,"Hampton City Public Schools",02,1410
"2019 - 2020",DIV,"Hampton City Public Schools",03,1365
"2019 - 2020",DIV,"Hampton City Public Schools",04,1480
"2019 - 2020",DIV,"Hampton City Public Schools",05,1451
"2019 - 2020",DIV,"Hampton City Public Schools",06,1500
"2019 - 2020",DIV,"Hampton City Public Schools",07,1543
"2019 - 2020",DIV,"Hampton City Public Schools",08,1410
"2019 - 2020",DIV,"Hampton City Public Schools",09,1809
"2019 - 2020",DIV,"Hampton City Public Schools",10,1529
"2019 - 2020",DIV,"Hampton City Public Schools",11,1365
"2019 - 2020",DIV,"Hampton City Public Schools",12,1185
"2019 - 2020",DIV,"Hanover County Public Schools",,17541
"2019 - 2020",DIV,"Hanover County Public Schools",PK,268
"2019 - 2020",DIV,"Hanover County Public Schools",KG,1155
"2019 - 2020",DIV,"Hanover County Public Schools",01,1173
"2019 - 2020",DIV,"Hanover County Public Schools",02,1159
"2019 - 2020",DIV,"Hanover County Public Schools",03,1252
"2019 - 2020",DIV,"Hanover County Public Schools",04,1259
"2019 - 2020",DIV,"Hanover County Public Schools",05,1319
"2019 - 2020",DIV,"Hanover County Public Schools",06,1327
"2019 - 2020",DIV,"Hanover County Public Schools",07,1377
"2019 - 2020",DIV,"Hanover County Public Schools",08,1449
"2019 - 2020",DIV,"Hanover County Public Schools",09,1468
"2019 - 2020",DIV,"Hanover County Public Schools",10,1475
"2019 - 2020",DIV,"Hanover County Public Schools",11,1449
"2019 - 2020",DIV,"Hanover County Public Schools",12,1411
"2019 - 2020",DIV,"Harrisonburg City Public Schools",,6613
"2019 - 2020",DIV,"Harrisonburg City Public Schools",PK,337
"2019 - 2020",DIV,"Harrisonburg City Public Schools",KG,495
"2019 - 2020",DIV,"Harrisonburg City Public Schools",01,479
"2019 - 2020",DIV,"Harrisonburg City Public Schools",02,510
"2019 - 2020",DIV,"Harrisonburg City Public Schools",03,497
"2019 - 2020",DIV,"Harrisonburg City Public Schools",04,493
"2019 - 2020",DIV,"Harrisonburg City Public Schools",05,467
"2019 - 2020",DIV,"Harrisonburg City Public Schools",06,497
"2019 - 2020",DIV,"Harrisonburg City Public Schools",07,455
"2019 - 2020",DIV,"Harrisonburg City Public Schools",08,495
"2019 - 2020",DIV,"Harrisonburg City Public Schools",09,518
"2019 - 2020",DIV,"Harrisonburg City Public Schools",10,516
"2019 - 2020",DIV,"Harrisonburg City Public Schools",11,395
"2019 - 2020",DIV,"Harrisonburg City Public Schools",12,459
"2019 - 2020",DIV,"Henrico County Public Schools",,51786
"2019 - 2020",DIV,"Henrico County Public Schools",PK,1141
"2019 - 2020",DIV,"Henrico County Public Schools",KG,3741
"2019 - 2020",DIV,"Henrico County Public Schools",01,3704
"2019 - 2020",DIV,"Henrico County Public Schools",02,3751
"2019 - 2020",DIV,"Henrico County Public Schools",03,3718
"2019 - 2020",DIV,"Henrico County Public Schools",04,3747
"2019 - 2020",DIV,"Henrico County Public Schools",05,3904
"2019 - 2020",DIV,"Henrico County Public Schools",06,3980
"2019 - 2020",DIV,"Henrico County Public Schools",07,4059
"2019 - 2020",DIV,"Henrico County Public Schools",08,4090
"2019 - 2020",DIV,"Henrico County Public Schools",09,4332
"2019 - 2020",DIV,"Henrico County Public Schools",10,4080
"2019 - 2020",DIV,"Henrico County Public Schools",11,3782
"2019 - 2020",DIV,"Henrico County Public Schools",12,3757
"2019 - 2020",DIV,"Henry County Public Schools",,7381
"2019 - 2020",DIV,"Henry County Public Schools",PK,313
"2019 - 2020",DIV,"Henry County Public Schools",KG,487
"2019 - 2020",DIV,"Henry County Public Schools",01,522
"2019 - 2020",DIV,"Henry County Public Schools",02,535
"2019 - 2020",DIV,"Henry County Public Schools",03,517
"2019 - 2020",DIV,"Henry County Public Schools",04,512
"2019 - 2020",DIV,"Henry County Public Schools",05,589
"2019 - 2020",DIV,"Henry County Public Schools",06,574
"2019 - 2020",DIV,"Henry County Public Schools",07,578
"2019 - 2020",DIV,"Henry County Public Schools",08,549
"2019 - 2020",DIV,"Henry County Public Schools",09,611
"2019 - 2020",DIV,"Henry County Public Schools",10,555
"2019 - 2020",DIV,"Henry County Public Schools",11,490
"2019 - 2020",DIV,"Henry County Public Schools",12,549
"2019 - 2020",DIV,"Highland County Public Schools",,218
"2019 - 2020",DIV,"Highland County Public Schools",PK,17
"2019 - 2020",DIV,"Highland County Public Schools",KG,19
"2019 - 2020",DIV,"Highland County Public Schools",01,21
"2019 - 2020",DIV,"Highland County Public Schools",02,15
"2019 - 2020",DIV,"Highland County Public Schools",03,18
"2019 - 2020",DIV,"Highland County Public Schools",04,14
"2019 - 2020",DIV,"Highland County Public Schools",05,5
"2019 - 2020",DIV,"Highland County Public Schools",06,16
"2019 - 2020",DIV,"Highland County Public Schools",07,12
"2019 - 2020",DIV,"Highland County Public Schools",08,14
"2019 - 2020",DIV,"Highland County Public Schools",09,14
"2019 - 2020",DIV,"Highland County Public Schools",10,18
"2019 - 2020",DIV,"Highland County Public Schools",11,19
"2019 - 2020",DIV,"Highland County Public Schools",12,16
"2019 - 2020",DIV,"Hopewell City Public Schools",,4283
"2019 - 2020",DIV,"Hopewell City Public Schools",PK,304
"2019 - 2020",DIV,"Hopewell City Public Schools",KG,308
"2019 - 2020",DIV,"Hopewell City Public Schools",01,344
"2019 - 2020",DIV,"Hopewell City Public Schools",02,319
"2019 - 2020",DIV,"Hopewell City Public Schools",03,290
"2019 - 2020",DIV,"Hopewell City Public Schools",04,318
"2019 - 2020",DIV,"Hopewell City Public Schools",05,303
"2019 - 2020",DIV,"Hopewell City Public Schools",06,311
"2019 - 2020",DIV,"Hopewell City Public Schools",07,313
"2019 - 2020",DIV,"Hopewell City Public Schools",08,317
"2019 - 2020",DIV,"Hopewell City Public Schools",09,324
"2019 - 2020",DIV,"Hopewell City Public Schools",10,282
"2019 - 2020",DIV,"Hopewell City Public Schools",11,301
"2019 - 2020",DIV,"Hopewell City Public Schools",12,249
"2019 - 2020",DIV,"Isle of Wight County Public Schools",,5630
"2019 - 2020",DIV,"Isle of Wight County Public Schools",PK,111
"2019 - 2020",DIV,"Isle of Wight County Public Schools",KG,382
"2019 - 2020",DIV,"Isle of Wight County Public Schools",01,402
"2019 - 2020",DIV,"Isle of Wight County Public Schools",02,380
"2019 - 2020",DIV,"Isle of Wight County Public Schools",03,410
"2019 - 2020",DIV,"Isle of Wight County Public Schools",04,401
