Enrollment
7/14/2020

Year,Level,Division,Grade,Count
"2019 - 2020",DIV,"Appomattox County Public Schools",PK,61
"2019 - 2020",DIV,"Appomattox County Public Schools",KG,181
"2019 - 2020",DIV,"Appomattox County Public Schools",01,166
"2019 - 2020",DIV,"Appomattox County Public Schools",02,176
"2019 - 2020",DIV,"Appomattox County Public Schools",03,154
"2019 - 2020",DIV,"Appomattox County Public Schools",04,171
"2019 - 2020",DIV,"Appomattox County Public Schools",05,178
"2019 - 2020",DIV,"Appomattox County Public Schools",06,179
"2019 - 2020",DIV,"Appomattox County Public Schools",07,169
"2019 - 2020",DIV,"Appomattox County Public Schools",08,167
"2019 - 2020",DIV,"Appomattox County Public Schools",09,169
"2019 - 2020",DIV,"Appomattox County Public Schools",10,185
"2019 - 2020",DIV,"Appomattox County Public Schools",11,173
"2019 - 2020",DIV,"Appomattox County Public Schools",12,150
"2019 - 2020",DIV,"Arlington County Public Schools",,28151
"2019 - 2020",DIV,"Arlington County Public Schools",PK,1077
"2019 - 2020",DIV,"Arlington County Public Schools",KG,2231
"2019 - 2020",DIV,"Arlington County Public Schools",01,2319
"2019 - 2020",DIV,"Arlington County Public Schools",02,2267
"2019 - 2020",DIV,"Arlington County Public Schools",03,2146
"2019 - 2020",DIV,"Arlington County Public Schools",04,2148
"2019 - 2020",DIV,"Arlington County Public Schools",05,2161
"2019 - 2020",DIV,"Arlington County Public Schools",06,2135
"2019 - 2020",DIV,"Arlington County Public Schools",07,2114
"2019 - 2020",DIV,"Arlington County Public Schools",08,1880
"2019 - 2020",DIV,"Arlington County Public Schools",09,2079
"2019 - 2020",DIV,"Arlington County Public Schools",10,1911
"2019 - 2020",DIV,"Arlington County Public Schools",11,1782
"2019 - 2020",DIV,"Arlington County Public Schools",12,1901
"2019 - 2020",DIV,"Augusta County Public Schools",,10342
"2019 - 2020",DIV,"Augusta County Public Schools",PK,307
"2019 - 2020",DIV,"Augusta County Public Schools",KG,706
"2019 - 2020",DIV,"Augusta County Public Schools",01,721
"2019 - 2020",DIV,"Augusta County Public Schools",02,757
"2019 - 2020",DIV,"Augusta County Public Schools",03,730
"2019 - 2020",DIV,"Augusta County Public Schools",04,730
"2019 - 2020",DIV,"Augusta County Public Schools",05,744
"2019 - 2020",DIV,"Augusta County Public Schools",06,777
"2019 - 2020",DIV,"Augusta County Public Schools",07,854
"2019 - 2020",DIV,"Augusta County Public Schools",08,797
"2019 - 2020",DIV,"Augusta County Public Schools",09,854
"2019 - 2020",DIV,"Augusta County Public Schools",10,792
"2019 - 2020",DIV,"Augusta County Public Schools",11,811
"2019 - 2020",DIV,"Augusta County Public Schools",12,762
"2019 - 2020",DIV,"Bath County Public Schools",,530
"2019 - 2020",DIV,"Bath County Public Schools",PG,1
"2019 - 2020",DIV,"Bath County Public Schools",PK,32
"2019 - 2020",DIV,"Bath County Public Schools",KG,35
"2019 - 2020",DIV,"Bath County Public Schools",01,42
"2019 - 2020",DIV,"Bath County Public Schools",02,35
"2019 - 2020",DIV,"Bath County Public Schools",03,41
"2019 - 2020",DIV,"Bath County Public Schools",04,39
"2019 - 2020",DIV,"Bath County Public Schools",05,39
"2019 - 2020",DIV,"Bath County Public Schools",06,38
"2019 - 2020",DIV,"Bath County Public Schools",07,37
"2019 - 2020",DIV,"Bath County Public Schools",08,38
"2019 - 2020",DIV,"Bath County Public Schools",09,41
"2019 - 2020",DIV,"Bath County Public Schools",10,41
"2019 - 2020",DIV,"Bath County Public Schools",11,40
"2019 - 2020",DIV,"Bath County Public Schools",12,31
"2019 - 2020",DIV,"Bedford County Public Schools",,9562
"2019 - 2020",DIV,"Bedford County Public Schools",PK,164
"2019 - 2020",DIV,"Bedford County Public Schools",KG,702
"2019 - 2020",DIV,"Bedford County Public Schools",01,678
"2019 - 2020",DIV,"Bedford County Public Schools",02,686
"2019 - 2020",DIV,"Bedford County Public Schools",03,675
"2019 - 2020",DIV,"Bedford County Public Schools",04,684
"2019 - 2020",DIV,"Bedford County Public Schools",05,704
"2019 - 2020",DIV,"Bedford County Public Schools",06,689
"2019 - 2020",DIV,"Bedford County Public Schools",07,740
"2019 - 2020",DIV,"Bedford County Public Schools",08,763
"2019 - 2020",DIV,"Bedford County Public Schools",09,767
"2019 - 2020",DIV,"Bedford County Public Schools",10,755
"2019 - 2020",DIV,"Bedford County Public Schools",11,797
"2019 - 2020",DIV,"Bedford County Public Schools",12,758
"2019 - 2020",DIV,"Bland County Public Schools",,693
"2019 - 2020",DIV,"Bland County Public Schools",PK,11
"2019 - 2020",DIV,"Bland County Public Schools",KG,41
"2019 - 2020",DIV,"Bland County Public Schools",01,50
"2019 - 2020",DIV,"Bland County Public Schools",02,51
"2019 - 2020",DIV,"Bland County Public Schools",03,52
"2019 - 2020",DIV,"Bland County Public Schools",04,41
"2019 - 2020",DIV,"Bland County Public Schools",05,50
"2019 - 2020",DIV,"Bland County Public Schools",06,57
"2019 - 2020",DIV,"Bland County Public Schools",07,63
"2019 - 2020",DIV,"Bland County Public Schools",08,47
"2019 - 2020",DIV,"Bland County Public Schools",09,61
"2019 - 2020",DIV,"Bland County Public Schools",10,58
"2019 - 2020",DIV,"Bland County Public Schools",11,66
"2019 - 2020",DIV,"Bland County Public Schools",12,45
"2019 - 2020",DIV,"Botetourt County Public Schools",,4672
"2019 - 2020",DIV,"Botetourt County Public Schools",PK,101
"2019 - 2020",DIV,"Botetourt County Public Schools",KG,335
"2019 - 2020",DIV,"Botetourt County Public Schools",01,309
"2019 - 2020",DIV,"Botetourt County Public Schools",02,315
"2019 - 2020",DIV,"Botetourt County Public Schools",03,311
"2019 - 2020",DIV,"Botetourt County Public Schools",04,319
"2019 - 2020",DIV,"Botetourt County Public Schools",05,355
"2019 - 2020",DIV,"Botetourt County Public Schools",06,328
"2019 - 2020",DIV,"Botetourt County Public Schools",07,352
"2019 - 2020",DIV,"Botetourt County Public Schools",08,372
"2019 - 2020",DIV,"Botetourt County Public Schools",09,389
"2019 - 2020",DIV,"Botetourt County Public Schools",10,393
"2019 - 2020",DIV,"Botetourt County Public Schools",11,384
"2019 - 2020",DIV,"Botetourt County Public Schools",12,409
"2019 - 2020",DIV,"Bristol City Public Schools",,2255
"2019 - 2020",DIV,"Bristol City Public Schools",PK,109
"2019 - 2020",DIV,"Bristol City Public Schools",KG,184
"2019 - 2020",DIV,"Bristol City Public Schools",01,163
"2019 - 2020",DIV,"Bristol City Public Schools",02,175
"2019 - 2020",DIV,"Bristol City Public Schools",03,157
"2019 - 2020",DIV,"Bristol City Public Schools",04,175
"2019 - 2020",DIV,"Bristol City Public Schools",05,157
"2019 - 2020",DIV,"Bristol City Public Schools",06,167
"2019 - 2020",DIV,"Bristol City Public Schools",07,158
"2019 - 2020",DIV,"Bristol City Public Schools",08,169
"2019 - 2020",DIV,"Bristol City Public Schools",09,167
"2019 - 2020",DIV,"Bristol City Public Schools",10,176
"2019 - 2020",DIV,"Bristol City Public Schools",11,133
"2019 - 2020",DIV,"Bristol City Public Schools",12,165
"2019 - 2020",DIV,"Brunswick County Public Schools",,1538
"2019 - 2020",DIV,"Brunswick County Public Schools",PK,43
"2019 - 2020",DIV,"Brunswick County Public Schools",KG,108
"2019 - 2020",DIV,"Brunswick County Public Schools",01,100
"2019 - 2020",DIV,"Brunswick County Public Schools",02,110
"2019 - 2020",DIV,"Brunswick County Public Schools",03,108
"2019 - 2020",DIV,"Brunswick County Public Schools",04,110
"2019 - 2020",DIV,"Brunswick County Public Schools",05,115
"2019 - 2020",DIV,"Brunswick County Public Schools",06,127
"2019 - 2020",DIV,"Brunswick County Public Schools",07,108
"2019 - 2020",DIV,"Brunswick County Public Schools",08,111
"2019 - 2020",DIV,"Brunswick County Public Schools",09,130
"2019 - 2020",DIV,"Brunswick County Public Schools",10,126
"2019 - 2020",DIV,"Brunswick County Public Schools",11,118
"2019 - 2020",DIV,"Brunswick County Public Schools",12,124
"2019 - 2020",DIV,"Buchanan County Public Schools",,2676
"2019 - 2020",DIV,"Buchanan County Public Schools",PK,132
"2019 - 2020",DIV,"Buchanan County Public Schools",KG,171
"2019 - 2020",DIV,"Buchanan County Public Schools",01,202
"2019 - 2020",DIV,"Buchanan County Public Schools",02,181
"2019 - 2020",DIV,"Buchanan County Public Schools",03,168
"2019 - 2020",DIV,"Buchanan County Public Schools",04,194
"2019 - 2020",DIV,"Buchanan County Public Schools",05,194
