locations,studentNum,Elem_plan,Second_plan,Risk
Buckingham,2113,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Charlotte,1763,All virtual ,All virtual,Low
Cumberland,1321,All virtual,All virtual,Low
Lunenburg,1590,All students 4 days in-school and 1 day virtual,2 days in-school (50% students) and 3 days virtual ,High
Nottoway,1990,2 days in-school (?% students) and 3 days virtual ,2 days in-school (?% students) and 3 days virtual ,Moderate
Prince Edward,2057,still planning,,still planning
Danville,5702,"All students K-3, 4 days in-school and 1 day virtual","Grade 3-12, 2 days in-school (50% students) and 3 days virtual",Moderate
Pittsylvania,8723,"All students K-3, 4 days in-school and 1 day virtual. Grade 4-5, 2 days in-school (50% students) and 3 days virtual",2 days in-school (50% students) and 3 days virtual ,High
Portsmouth,13991,still planning,,still planning
Manassas City,7789,All virtual ,All virtual,Low
Manassas Park,3641,All virtual ,All virtual,Low
Prince William,92270,All virtual ,All virtual,Low
Caroline,4253,still planning,,still planning
Fredericksburg,3763,All virtual ,All virtual,Low
King George,4518,All virtual ,All virtual,Low
Spotsylvania,23903,All virtual ,All virtual,Low
Stafford,30120,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Culpeper,8521,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Fauquier,11181,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Madison,1726,"All students K-3, 4 days in-school and 1 day virtual. Grade 4-5, 2 days in-school (50% students) and 3 days virtual","Grade 6-7, 2 days in-school (50% students) and 3 days virtual. Grade 8, 1 day in-school (50% student) and 4 days virtual",Moderate
Orange,5092,2 days in-school (50% students) and 3 days virtual ,"Grade 6-8, 2 days in-school and 3 days virtual. Grade 9-12, 1 day in-school (25% student) and 4 days virtual",Moderate
Rappahannock,791,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Richmond City,25212,All virtual ,All virtual ,Low
Roanoke City,14049, 4 days in-school (70% students) and 1 day virtual, 4 days in-school (70% students) and 1 day virtual,High
Brunswick,1538,All virtual ,All virtual ,Low
Halifax,4896,still planning,,still planning
Mecklenburg,4205, All students 4 days in-school and 1 day virtual, All students 4 days in-school and 1 day virtual,
Albermarle,14435,All virtual ,All virtual ,
Charolttesville,4549,still planning,,still planning
Fluvanna,3549,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Greene,2978,All students 5 days in-school,2 days in-school (50% students) and 3 days virtual ,High
Louisa,4987,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Nelson,1695,All virtual ,All virtual ,still planning
Essex,1320,All virtual ,All virtual ,still planning
Gloucester,5306,,,
King and Queen,833,"PK-7, 2 days in-school (50% students) and 3 days virtual","Grade 8-12, 3 groups (50% students)",Moderate
King William,2188,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Lancaster,1079,Alternating week,,Low
Mathews,1008,still planning,,still planning
Middlesex,1208,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Northumberland,1279,2 days in-school (50% students) and 3 days virtual ,2 days in-school (50% students) and 3 days virtual ,Moderate
Richmond County,1301,still planning,,still planning
Westmoreland,1603,All students 4 days in-school and 1 day virtual (Alternate week),All students 4 days in-school and 1 day virtual (Alternate week),
Virginia Beach,68706,still planning,,still planning
Frankling County,,still planning,,still planning
Henry,7381,still planning,,still planning
Martinsville,1930,2 days in-school (50% students) and 3 days virtual ,1 day in-school (50% students) and 4 days virtual ,Moderate
Patrick,2558,still planning,,still planning
Franklin City,,,,
Isle of Wight,5630,,,
Southampton,2803,,,
Suffolk,14323,1 day in-school (25% students) and 3 days virtual ,1 day in-school (25% students) and 3 days virtual ,Moderate
